诗编号,作者,卷编号,篇名,题材特征,末句韵部
1,李世民,卷1_1,帝京篇十首（1）,111050,5
2,李世民,卷1_1,帝京篇十首（2）,2000000,45
3,李世民,卷1_1,帝京篇十首（3）,301120,75
4,李世民,卷1_1,帝京篇十首（4）,1011010,97
5,李世民,卷1_1,帝京篇十首（5）,101011,3
6,李世民,卷1_1,帝京篇十首（6）,10201,35
7,李世民,卷1_1,帝京篇十首（7）,202130,36
8,李世民,卷1_1,帝京篇十首（8）,2010101,99
9,李世民,卷1_1,帝京篇十首（9）,3101010,15
10,李世民,卷1_1,帝京篇十首（10）,1010100,51
11,李世民,卷1_2,饮马长城窟行,3139151,102
12,李世民,卷1_3,执契静三边,4559162,92
13,李世民,卷1_4,正日临朝,2000020,21
14,李世民,卷1_5,幸武功庆善宫,101223,3
15,李世民,卷1_6,重幸武功,3201233,0
16,李世民,卷1_7,经破薛举战地,1101101,99
17,李世民,卷1_8,过旧宅二首（1）,100214,20
18,李世民,卷1_8,过旧宅二首（2）,1110414,0
19,李世民,卷1_9,还陕述怀,1012202,15
20,李世民,卷1_10,入潼关,2121011,22
21,李世民,卷1_11,于北平作,2123111,67
22,李世民,卷1_12,辽城望月,1213021,97
23,李世民,卷1_13,春日登陕州城楼俯眺原野回丹碧缀烟霞密翠斑…聊以命篇,121120,22
24,李世民,卷1_14,春日玄武门宴群臣,2010010,15
25,李世民,卷1_15,登三台言志,2512042,10
26,李世民,卷1_16,出猎,201020,0
27,李世民,卷1_17,冬狩,1100120,25
28,李世民,卷1_18,春日望海,2311142,21
29,李世民,卷1_19,临洛水,1310202,19
30,李世民,卷1_20,望终南山,1000111,15
31,李世民,卷1_21,元日,2310312,21
32,李世民,卷1_22,初春登楼即目观作述怀,2302101,26
33,李世民,卷1_23,首春,402303,9
34,李世民,卷1_24,初晴落景,100002,62
35,李世民,卷1_25,初夏,4301203,15
36,李世民,卷1_26,度秋,100101,33
37,李世民,卷1_27,仪鸾殿早秋,2301303,3
38,李世民,卷1_28,秋日即目,2521433,0
39,李世民,卷1_29,山阁晚秋,211302,65
40,李世民,卷1_30,秋暮言志,101,0
41,李世民,卷1_31,喜雪,2415422,15
42,李世民,卷1_32,秋日斅庾信体,311412,0
43,李世民,卷1_33,赋尚书,100000,45
44,李世民,卷1_34,咏司马彪续汉志,4103443,62
45,李世民,卷1_35,咏风,122202,22
46,李世民,卷1_36,咏雨,201100,19
47,李世民,卷1_37,咏雪,111011,4
48,李世民,卷1_38,赋得夏首启节,200011,5
49,李世民,卷1_39,赋得白日半西山,1100000,22
50,李世民,卷1_40,置酒坐飞阁,202204,0
51,李世民,卷1_41,采芙蓉,130201,21
52,李世民,卷1_42,赋得樱桃,2110001,10
53,李世民,卷1_43,赋得李,1101102,26
54,李世民,卷1_44,赋得浮桥,110202,21
55,李世民,卷1_45,谒并州大兴国寺诗,412111,10
56,李世民,卷1_46,咏兴国寺佛殿前幡,0,0
57,李世民,卷1_47,望送魏徵葬,1410010,45
58,李世民,卷1_48,伤辽东战亡,1000010,0
59,李世民,卷1_49,月晦,311011,22
60,李世民,卷1_50,秋日翠微宫,310212,0
61,李世民,卷1_51,初秋夜坐,502422,3
62,李世民,卷1_52,秋日二首（1）,1320301,15
63,李世民,卷1_52,秋日二首（2）,3100301,26
64,李世民,卷1_53,冬宵各为四韵,1411020,25
65,李世民,卷1_54,冬日临昆明池,301202,20
66,李世民,卷1_55,望雪,101101,20
67,李世民,卷1_56,守岁,311212,0
68,李世民,卷1_57,除夜,1000202,21
69,李世民,卷1_58,咏雨,1310203,15
70,李世民,卷1_59,赋得含峰云,2112010,11
71,李世民,卷1_60,三层阁上置音声,1221010,15
72,李世民,卷1_61,远山澄碧雾,101010,0
73,李世民,卷1_62,赋得花庭雾,1310111,0
74,李世民,卷1_63,春池柳,1203121,9
75,李世民,卷1_64,芳兰,110100,21
76,李世民,卷1_65,咏桃,1200001,21
